##エリア番号,設置数,アイテム名及び種類,効果,回数,
##0,,分校,,,
##1,,北の岬,,,
1&28,7,ネズミ捕り機<>TN,15,1,
1&28,7,ネズミ捕り機<>TO,15,1,
1|28,20,水<>HH,20,1,
1|3|5|6|7|8|9|28,35,地雷<>TN,20,1,
1|3|5|6|7|8|9,30,地雷<>TO,20,1,
##2,,北村住宅街,,,
2|10|13|14|18,30,石ころ<>WC,5-10,20-30,
2,5,包丁<>WN,15,∞,
2,1,コップ<>WC,10,1,
2|14,6,裁縫道具<>Y,5|7|10,1,
2,3,皿<>WC,10,1,
2,5,鍋<>WC,10,1,
2,5,グラス<>WC,10,1,
2,1,テレビ<>WC,20,1,
2,1,テーブル<>WC,20,1,
2,1,棚<>WC,15,1,
2,1,家宝の刀<>WN,25,∞,
2,12,空き瓶<>WC,2,1,
2,6,空き缶<>WC,2,1,
2,5,コップ<>WC,10,1,
2|10|14|25,40,砥石<>Y,2-5,1,
##3,,北村役場,,,
##4,,郵便局,,,
4&5&24,8,ピアノ線<>TN,10,1,
4|5|24,35,ピアノ線<>TO,10,1,
##5,,消防署,,,
##6,,観音堂,,,
6,5,バッテリ<>Y,1,1,
6,3,防火服<>DBA,15,20,
6,18,水<>HH,20,1,
6,3,防火ヘルメット<>DH,3,10,
##7,,兵陵地帯,,,
7,1,観音菩薩像<>WB,5,∞,
7,4,袈裟<>DBN,10,25,
7,1,閻魔像<>WB,7,∞,
7,1,阿修羅像<>WB,10,∞,
7,1,地蔵菩薩像<>WB,8,∞,
7,3,神主の衣装<>DBN,10,15,
##8,,清水池,,,
8,26,水<>HH,20,1,
##9,,西村神社,,,
9,3,御神籤<>Y,1,1,
9,3,神主の衣装<>DBN,10,15,
9,9,御神籤<>Y,1,1,
##10,,ホテル跡,,,
10,5,包丁<>WNS,15,∞,
10,1,コップ<>WC,10,1,
10,1,皿<>WC,10,1,
10,5,鍋<>WC,10,1,
10,5,グラス<>WC,10,1,
10,1,テレビ<>WC,20,1,
10,1,テーブル<>WC,20,1,
10,1,棚<>WC,15,1,
10,1,家宝の刀<>WNS,25,∞,
10,1,肥料<>Y,1,1,
10,2,皿<>WC,10,1,
10,5,コップ<>WC,10,1,
10,1,サツマイモ<>SH,50,1,
10,1,ヤマイモ<>SH,40,1,
10,1,ジャガイモ<>SH,40,1,
10,1,ゴボウ<>SH,30,1,
10,1,ニンジン<>SH,30,1,
10,1,タマネギ<>SH,20,1,
